Entity;Description;Category;Tags;Dimension;Acronym;Importance;Synonyms
digital cities;A concept that refers to the use of digital technologies and data to improve the efficiency, sustainability, and livability of cities.;Technology;"Smart Cities; Urban Development; Digital Transformation";Technology;;3.0;
data ecosystems;Refers to the interconnected network of individuals, organizations, and systems that share and utilize data.;Technology;"Data Sharing; Data Collaboration; Data Governance";Technology;;2.0;
data equity;The principle of ensuring fair and equal access to and use of data, particularly for marginalized communities.;Social;"Data Access; Data Inclusion; Data Justice";Social;;2.0;"data security; data quality"
AI for smart grid optimization;The application of artificial intelligence techniques to optimize the operation and management of smart grids.;Technology;"Artificial Intelligence; Smart Grids; Energy Optimization";Technology;AI-SGO;4.0;
digital literacy;The ability to use digital technologies and tools to access, evaluate, and create information.;Skill;"Digital Skills; Technology Literacy; Digital Education";Social;;3.0;
national digital transformation strategies;Strategies developed by governments to guide the digital transformation of their countries.;Strategy;"Digital Transformation; Government Policies; National Development";Technology;NDTS;3.0;
internet of energy;A network of interconnected devices and systems that enable the efficient management and distribution of energy.;Technology;"IoT; Energy Management; Smart Grids";Technology;IoE;4.0;"internet of things; net zero energy"
geospatial information systems;Systems that capture, store, analyze, and manage spatial and geographic data.;Technology;"GIS; Spatial Data; Geographic Analysis";Technology;GIS;2.0;geographic information system
energy modeling;The process of creating mathematical models to simulate and analyze energy systems and their performance.;Technology;"Energy Simulation; System Analysis; Energy Efficiency";Technology;;3.0;energy planning
generative AI;Artificial intelligence techniques that can generate new content, such as images, music, or text.;Technology;"AI; Machine Learning; Creative Content";Technology;;2.0;
digital twins;A digital representation of a physical object or system that can be used for various purposes such as monitoring, simulation, and optimization.;Technology;"Internet of Things; Simulation; Optimization";Technology;;3.0;
digital inclusive finance;Financial services that are accessible and affordable to all individuals and businesses, including those in underserved and marginalized communities.;Finance;"Financial Inclusion; Access; Affordability";Social;;3.0;inclusive finance
undp accelerator labs;A network of innovation labs established by the United Nations Development Programme (UNDP) to address complex development challenges through experimentation and collaboration.;Organization;"Innovation; Experimentation; Collaboration";Strategy;UNDP AL;4.0;
South-South and triangular cooperation;Collaboration and exchange of resources, knowledge, and expertise among developing countries (South-South cooperation) and between developing countries and other partners (triangular cooperation).;Strategy;"Collaboration; Exchange; Developing Countries";Strategy;SSTC;4.0;
cybersecurity policy;A set of rules, guidelines, and measures designed to protect computer systems, networks, and data from unauthorized access, use, disclosure, disruption, modification, or destruction.;Policy;"Security; Data Protection; Risk Management";Technology;;3.0;
data sovereignty;The concept that data is subject to the laws and governance of the country in which it is collected, stored, and processed.;Policy;"Data Governance; Data Protection; Data Privacy";Technology;;2.0;
decentralized energy systems;Energy systems that generate and distribute energy at a local level, often using renewable sources and involving local communities in decision-making and ownership.;Infrastructure;"Renewable Energy; Local Communities; Decentralization";Technology;;4.0;renewable energy system
energy efficiency;The use of less energy to provide the same level of output or service, resulting in reduced energy consumption, cost savings, and environmental benefits.;Technology;"Energy Conservation; Energy Management; Sustainability";Technology;;4.0;"energy efficiency policy; energy efficiency programs; energy efficiency goals; energy efficiency performance; energy efficiency initiatives; energy efficiency measures; energy efficiency improvements; energy efficiency targets"
carbon pricing;A policy instrument that puts a price on carbon emissions, either through a carbon tax or a cap-and-trade system, to incentivize the reduction of greenhouse gas emissions.;Policy;"Climate Change; Emissions Reduction; Market Mechanism";Policy;;4.0;"carbon footprint; carbon pricing mechanisms"
energy value chain;The sequence of activities involved in the production, transformation, distribution, and consumption of energy, including extraction, generation, transmission, and end-use.;Infrastructure;"Energy Production; Energy Distribution; Energy Consumption";Technology;;3.0;
circular economy;A system aimed at eliminating waste and promoting the continual use of resources.;Policy;"Sustainability; Resource Management; Waste Reduction";Economic;;3.0;"circular economy principles; circular economy solution; circular economy goals"
energy storage;The process of capturing and storing energy for later use.;Technology;"Renewable Energy; Grid Stability; Battery Technology";Technology;;4.0;"energy waste; energy storage capacity; energy savings; energy data; energy storage solutions; energy storage policy; energy surveys"
time poverty;A situation where individuals lack sufficient time to meet their basic needs and participate fully in society.;Social;"Work-Life Balance; Inequality; Time Management";Social;;2.0;
carbon capture and utilization;The process of capturing carbon dioxide emissions and converting them into useful products.;Technology;"Climate Change Mitigation; Carbon Sequestration; Industrial Processes";Technology;CCU;4.0;
multi-level governance;A system of governance that involves multiple levels of authority, from local to national and international.;Policy;"Decentralization; Collaboration; Policy Coordination";Social;;3.0;
multi-stakeholder partnerships;Collaborative initiatives involving multiple stakeholders, such as governments, businesses, and civil society organizations.;Strategy;"Collaboration; Sustainable Development; Collective Impact";Social;MSP;3.0;multi-stakeholder approach
smart grid optimization;The use of advanced technologies and strategies to optimize the performance and efficiency of electrical grids.;Technology;"Renewable Energy Integration; Grid Flexibility; Demand Response";Technology;SGO;4.0;
micro grids;Small-scale, localized electrical grids that can operate independently or in conjunction with the main grid.;Infrastructure;"Energy Access; Resilience; Decentralization";Technology;;3.0;"microgrid systems; smart grids"
social protection;Policies and programs designed to support individuals and communities in times of economic and social vulnerability.;Policy;"Poverty Alleviation; Inequality Reduction; Safety Nets";Social;;3.0;"social cohesion; financial protection"
electric mobility;The use of electric vehicles and other forms of electric transportation to reduce reliance on fossil fuels.;Technology;"Clean Transportation; Emissions Reduction; Infrastructure Development";Technology;;4.0;
human development index;A composite statistic of life expectancy, education, and per capita income indicators, which are used to rank countries into four tiers of human development.;Policy;"Social; Economic";Economic;HDI;3.0;
just energy transition;A concept that aims to ensure a fair and equitable transition to a sustainable energy system, taking into account social, economic, and environmental aspects.;Policy;"Social; Economic; Intersectionality";Social;JET;4.0;"energy transition; clean energy transition; energy transition funds; democratic energy transition; energy transition progress; sustainable energy transition; energy transition strategy; energy transition plan; energy transition theory; energy transition goals"
clean cooking;The use of clean and efficient cookstoves and fuels to reduce indoor air pollution and improve health, environment, and livelihoods.;Technology;"Social; Health";Social;;3.0;clean cooking solutions
community-led solutions;Approaches and initiatives that are driven and implemented by local communities to address sustainable energy challenges and meet their specific needs.;Strategy;"Social; Economic";Social;;2.0;"community-based energy solutions; community-based organizations"
integrating traditional knowledge;The incorporation of indigenous and traditional knowledge systems into sustainable energy planning and decision-making processes.;Policy;"Social; Environmental; Intersectionality";Social;;2.0;
technical capacity-building initiatives;Programs and activities aimed at enhancing the technical skills and knowledge of individuals and organizations in the field of sustainable energy.;Skill;"Social; Economic";Social;;3.0;
levelized cost of electricity;A measure of the average cost of generating electricity from a particular source over its lifetime, taking into account the initial investment, operating costs, and expected output.;Economic;"Technology; Finance";Economic;LCOE;4.0;
energy resilience;The ability of an energy system to withstand and recover from disruptions, such as natural disasters or cyber attacks, and continue to provide reliable and sustainable energy services.;Policy;"Social; Environmental; Crisis";Social;;4.0;"disaster resilience; grid resilience; energy resilience grants"
offshore renewable energy;Renewable energy generated from sources located in bodies of water, such as wind farms or tidal power plants.;Technology;Environmental;Environmental;;3.0;"marine renewable energy; research on renewable energy; renewable energy"
ocean thermal energy conversion;A technology that harnesses the temperature difference between warm surface water and cold deep water to generate electricity.;Technology;Environmental;Environmental;OTEC;3.0;
blue economy;The sustainable use of ocean resources for economic growth, improved livelihoods, and jobs while preserving the health of the ocean ecosystem.;Economic;"Ocean; Sustainable Development; Marine Resources";Sustainable Development;;3.0;green economy
decarbonization;The process of reducing or eliminating carbon dioxide emissions from various sectors to mitigate climate change.;Technology;"Climate Change; Greenhouse Gas Emissions; Renewable Energy";Climate Change;;4.0;decentralization
energy for smallholder farmers;Access to affordable and sustainable energy solutions for smallholder farmers to improve agricultural productivity and livelihoods.;Social;"Agriculture; Rural Development; Energy Access";Sustainable Development;;3.0;smallholder farmers
disaster warning networks;Systems and networks that provide early warning and preparedness for natural disasters to minimize their impact on communities.;Infrastructure;"Disaster Preparedness; Risk Management; Community Resilience";Disaster Risk Reduction;;3.0;
energy governance;The framework and processes for decision-making, policy development, and regulation in the energy sector to ensure sustainable and equitable energy access.;Policy;"Energy Policy; Regulation; Energy Access";Governance;;3.0;"energy performance; sustainable energy governance"
small island developing states;Island nations facing unique challenges related to sustainable development, climate change, and vulnerability to natural disasters.;Location;"Island Nations; Climate Change; Sustainable Development";Sustainable Development;SIDS;4.0;
water-food-energy nexus;The interconnected relationship between water, food, and energy systems, and the need for integrated approaches to ensure sustainability and resilience.;Intersectionality;"Water Security; Food Security; Energy Security";Sustainable Development;;4.0;
hydrogen for development;The use of hydrogen as a clean and sustainable energy source for various sectors to support economic development and decarbonization.;Technology;"Hydrogen Energy; Clean Energy; Decarbonization";Sustainable Development;;3.0;
waster-to-energy solutions;;;;;;;
nature-based solutions;Approaches that use nature and natural processes to address environmental challenges and promote sustainable development.;Policy;"Biodiversity; Climate Change Adaptation; Ecosystem Services";Sustainable Development;;3.0;
climate-smart agriculture;Agricultural practices that sustainably increase productivity, resilience, and reduce greenhouse gas emissions.;Technology;"Agriculture; Climate Change; Sustainability";Social;;3.0;
energy markets;Markets where electricity, natural gas, and other energy commodities are bought and sold.;Economic;"Energy; Markets; Commodities";Economic;;4.0;"energy startups; energy access; energy audits; energy market; energy market monopoly"
solar home systems;Stand-alone solar power systems that provide electricity for individual households.;Technology;"Solar Power; Home Systems; Renewable Energy";Social;;3.0;
gender mainstreaming;The process of assessing the implications for women and men of any planned action, including legislation, policies, or programs.;Social;"Gender; Equality; Inclusion";Social;;2.0;"gender mainstreaming program; gender mainstreaming strategy; gender mainstreaming programs"
micro-finance;Financial services, such as loans, savings, and insurance, provided to low-income individuals or small businesses.;Finance;"Microfinance; Financial Services; Poverty Alleviation";Economic;;3.0;microfinance programs
marginalized communities;Groups of people who are socially, economically, or politically disadvantaged and face barriers to accessing resources and opportunities.;Social;"Marginalized; Communities; Inequality";Social;;2.0;rural communities
sex-disaggregated data;Data that is broken down by sex or gender to better understand and address gender disparities.;Social;"Gender; Data; Disaggregation";Social;;2.0;
medium small micro enterprises;Small businesses that have a limited number of employees and operate at a local or regional level.;Economic;"MSMEs; Small Businesses; Entrepreneurship";Economic;MSMEs;3.0;
electrification planning;The process of developing strategies and plans to increase access to electricity in a specific area or region.;Strategy;"Electrification; Planning; Energy Access";Social;;3.0;electrification
gender disparities in energy;Inequalities in access to and control over energy resources and services based on gender.;Social;"Gender; Disparities; Energy Access";Social;;2.0;gender disparities
